"","Program","Year","Period","Week.Ending","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Zip.Code","Region","watershed_code","Watershed","Commodity","Data.Item","Domain","Domain.Category","Value","CV...."
"34","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","385",41.1
"35","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","319",27.1
"36","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","23",52.8
"37","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","26",56.5
"38","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","22",63.8
"39","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","90",27.1
"40","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","19",58.1
"41","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","59",35.9
"42","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","29",89.7
"43","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","79",40
"44","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","55",53
"45","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","758",22
"46","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","325",41.3
"47","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","94",56.7
"48","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BINGHAM",11,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,177",20
"49","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","53",60
"50","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","393",41.1
"51","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","351",27.1
"52","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","19",52.8
"53","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","35",56.5
"54","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","16",63.8
"55","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","40",27.1
"56","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","5",58.1
"57","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","74",35.9
"58","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","38",89.7
"59","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","57",40
"60","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","28",53
"61","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","863",22
"62","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","189",41.3
"63","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","57",56.7
"64","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BONNEVILLE",19,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,109",20
"65","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","37",60
"66","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","16",41.1
"67","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","30",27.1
"68","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","15",52.8
"69","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","7",56.5
"70","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","3",63.8
"71","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","14",27.1
"72","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","18",58.1
"73","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","16",35.9
"74","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","11",89.7
"75","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","14",40
"76","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","8",53
"77","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","140",22
"78","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","43",41.3
"79","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","6",56.7
"80","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"BUTTE",23,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","189",20
"81","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","47",60
"82","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","54",41.1
"83","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","62",27.1
"84","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","7",52.8
"85","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","22",56.5
"86","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","12",63.8
"87","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","50",27.1
"88","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","13",58.1
"89","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","59",35.9
"90","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","10",89.7
"91","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","57",40
"92","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","18",53
"93","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (FULL OWNER)","269",22
"94","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (PART OWNER)","120",41.3
"95","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TENURE","TENURE: (TENANT)","22",56.7
"96","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CARIBOU",29,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","411",20
"97","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CLARK",33,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","9",60
"98","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CLARK",33,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","9",41.1
"99","CENSUS",2017,"YEAR",NA,"COUNTY","IDAHO",16,"EAST",90,"CLARK",33,NA,NA,0,NA,"FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","4",27.1
